source_row,timestamp,CO(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,eligible,missing_target,all_predictors_missing
20,2004-03-11 12:00:00,1.6,1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,True,False,False
21,2004-03-11 13:00:00,1.9,1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,True,False,False
22,2004-03-11 14:00:00,2.9,1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,True,False,False
23,2004-03-11 15:00:00,2.2,1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,True,False,False
24,2004-03-11 16:00:00,2.2,1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,True,False,False
25,2004-03-11 17:00:00,2.9,1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,True,False,False
26,2004-03-11 18:00:00,4.8,1581.0,1319.0,799.0,2083.0,1409.0,10.3,64.2,0.8065,True,False,False
27,2004-03-11 19:00:00,6.9,1776.0,1488.0,702.0,2333.0,1704.0,9.7,69.3,0.8319,True,False,False
28,2004-03-11 20:00:00,6.1,1640.0,1404.0,743.0,2191.0,1654.0,9.6,67.8,0.8133,True,False,False
29,2004-03-11 21:00:00,3.9,1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7419,True,False,False
30,2004-03-11 22:00:00,1.5,965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,True,False,False
31,2004-03-11 23:00:00,1.0,913.0,629.0,1565.0,1252.0,552.0,8.2,60.8,0.6657,True,False,False
32,2004-03-12 00:00:00,1.7,1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,True,False,False
33,2004-03-12 01:00:00,1.9,1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6308,True,False,False
34,2004-03-12 02:00:00,1.4,988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,True,False,False
35,2004-03-12 03:00:00,0.8,889.0,574.0,1680.0,1187.0,512.0,7.0,62.3,0.6261,True,False,False
36,2004-03-12 04:00:00,,831.0,506.0,1893.0,1134.0,384.0,6.1,65.9,0.6248,False,True,False
37,2004-03-12 05:00:00,0.6,847.0,501.0,1895.0,1155.0,394.0,6.3,65.0,0.6233,True,False,False
38,2004-03-12 06:00:00,0.8,927.0,571.0,1685.0,1223.0,487.0,6.8,62.9,0.6234,True,False,False
39,2004-03-12 07:00:00,1.4,1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6316,True,False,False
40,2004-03-12 08:00:00,4.4,1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6499,True,False,False
41,2004-03-12 09:00:00,,1545.0,1353.0,767.0,2058.0,1588.0,9.2,56.2,0.6561,False,True,False
42,2004-03-12 10:00:00,3.1,1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.632,True,False,False
43,2004-03-12 11:00:00,2.7,1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6243,True,False,False
44,2004-03-12 12:00:00,2.1,1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6195,True,False,False
45,2004-03-12 13:00:00,2.5,1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6262,True,False,False
46,2004-03-12 14:00:00,2.7,1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656,True,False,False
47,2004-03-12 15:00:00,2.9,1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661,True,False,False
48,2004-03-12 16:00:00,2.8,1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,True,False,False
49,2004-03-12 17:00:00,2.4,1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,True,False,False
50,2004-03-12 18:00:00,3.9,1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,True,False,False
51,2004-03-12 19:00:00,3.7,1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,True,False,False
52,2004-03-12 20:00:00,6.6,1843.0,1610.0,624.0,2390.0,1887.0,12.9,50.5,0.7478,True,False,False
53,2004-03-12 21:00:00,4.4,1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.7536,True,False,False
54,2004-03-12 22:00:00,3.5,1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.774,True,False,False
55,2004-03-12 23:00:00,5.4,1677.0,1346.0,741.0,2062.0,1657.0,9.7,64.6,0.7771,True,False,False
56,2004-03-13 00:00:00,2.7,1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.7597,True,False,False
57,2004-03-13 01:00:00,1.9,1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,True,False,False
58,2004-03-13 02:00:00,1.6,1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,True,False,False
59,2004-03-13 03:00:00,1.7,1172.0,783.0,1179.0,1380.0,996.0,7.8,67.5,0.7173,True,False,False
60,2004-03-13 04:00:00,,1147.0,821.0,1132.0,1412.0,992.0,7.0,71.1,0.7158,False,True,False
61,2004-03-13 05:00:00,1.0,978.0,625.0,1420.0,1274.0,819.0,8.3,63.6,0.6982,True,False,False
62,2004-03-13 06:00:00,1.2,1100.0,646.0,1406.0,1268.0,835.0,7.2,67.5,0.6887,True,False,False
63,2004-03-13 07:00:00,1.5,1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,True,False,False
64,2004-03-13 08:00:00,2.7,1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,True,False,False
65,2004-03-13 09:00:00,3.7,1408.0,1153.0,830.0,1777.0,1411.0,9.6,59.7,0.7124,True,False,False
66,2004-03-13 10:00:00,3.2,1447.0,1081.0,869.0,1667.0,1465.0,12.4,51.2,0.7335,True,False,False
67,2004-03-13 11:00:00,4.1,1542.0,1184.0,808.0,1780.0,1583.0,15.6,42.2,0.7451,True,False,False
68,2004-03-13 12:00:00,3.6,1451.0,1117.0,875.0,1679.0,1387.0,18.4,33.8,0.709,True,False,False
69,2004-03-13 13:00:00,2.8,1328.0,1059.0,987.0,1600.0,1101.0,19.4,31.3,0.695,True,False,False
70,2004-03-13 14:00:00,2.0,1207.0,924.0,1088.0,1488.0,850.0,18.0,34.8,0.7127,True,False,False
71,2004-03-13 15:00:00,2.0,1240.0,947.0,1049.0,1532.0,947.0,18.4,33.6,0.7042,True,False,False
72,2004-03-13 16:00:00,2.5,1306.0,987.0,1004.0,1554.0,1078.0,17.6,35.1,0.7012,True,False,False
73,2004-03-13 17:00:00,2.3,1326.0,1000.0,976.0,1602.0,1084.0,16.7,37.8,0.7117,True,False,False
74,2004-03-13 18:00:00,3.2,1473.0,1163.0,831.0,1779.0,1395.0,16.1,41.0,0.7451,True,False,False
75,2004-03-13 19:00:00,4.2,1609.0,1286.0,758.0,1922.0,1612.0,15.8,42.4,0.7569,True,False,False
76,2004-03-13 20:00:00,4.2,1611.0,1274.0,754.0,1915.0,1697.0,15.7,44.1,0.7786,True,False,False
77,2004-03-13 21:00:00,4.2,1621.0,1247.0,762.0,1860.0,1886.0,15.3,46.8,0.8091,True,False,False
78,2004-03-13 22:00:00,3.1,1444.0,1089.0,844.0,1748.0,1624.0,14.6,48.6,0.806,True,False,False
79,2004-03-13 23:00:00,2.6,1418.0,1010.0,892.0,1603.0,1536.0,14.7,49.3,0.8193,True,False,False
80,2004-03-14 00:00:00,2.9,1534.0,1013.0,889.0,1611.0,1535.0,13.9,53.6,0.8498,True,False,False
81,2004-03-14 01:00:00,2.8,1484.0,1045.0,880.0,1624.0,1530.0,14.6,51.5,0.8536,True,False,False
82,2004-03-14 02:00:00,2.5,1367.0,925.0,953.0,1543.0,1337.0,12.5,58.9,0.8537,True,False,False
83,2004-03-14 03:00:00,2.4,1344.0,968.0,921.0,1620.0,1278.0,11.6,63.4,0.8674,True,False,False
84,2004-03-14 04:00:00,,1130.0,773.0,1130.0,1452.0,1051.0,12.1,61.1,0.8603,False,True,False
85,2004-03-14 05:00:00,1.2,1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,True,False,False
86,2004-03-14 06:00:00,1.0,1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,True,False,False
87,2004-03-14 07:00:00,0.9,1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.853,True,False,False
88,2004-03-14 08:00:00,1.4,1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.853,True,False,False
89,2004-03-14 09:00:00,1.6,1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,True,False,False
90,2004-03-14 10:00:00,2.2,1332.0,923.0,952.0,1614.0,1225.0,14.5,53.1,0.8728,True,False,False
91,2004-03-14 11:00:00,2.8,1445.0,1009.0,878.0,1696.0,1355.0,16.9,46.1,0.8789,True,False,False
92,2004-03-14 12:00:00,2.8,1416.0,1002.0,907.0,1677.0,1262.0,19.3,38.3,0.8474,True,False,False
93,2004-03-14 13:00:00,2.0,1281.0,880.0,1084.0,1525.0,980.0,21.2,31.4,0.7812,True,False,False
94,2004-03-14 14:00:00,1.8,1207.0,879.0,1104.0,1490.0,872.0,21.4,30.2,0.7616,True,False,False
95,2004-03-14 15:00:00,1.9,1258.0,906.0,1081.0,1511.0,900.0,21.9,29.0,0.7525,True,False,False
96,2004-03-14 16:00:00,3.0,1458.0,1045.0,974.0,1646.0,1099.0,22.2,28.4,0.7516,True,False,False
97,2004-03-14 17:00:00,2.9,1438.0,1051.0,943.0,1668.0,1206.0,21.3,30.8,0.7696,True,False,False
98,2004-03-14 18:00:00,2.5,1478.0,1055.0,929.0,1671.0,1262.0,19.7,36.7,0.8307,True,False,False
99,2004-03-14 19:00:00,4.6,1808.0,1312.0,753.0,1993.0,1698.0,18.4,41.7,0.8732,True,False,False
100,2004-03-14 20:00:00,5.9,1898.0,1381.0,681.0,2103.0,1905.0,17.6,46.1,0.921,True,False,False
101,2004-03-14 21:00:00,3.4,1560.0,1140.0,784.0,1818.0,1648.0,16.7,49.6,0.932,True,False,False
102,2004-03-14 22:00:00,2.1,1324.0,940.0,924.0,1587.0,1423.0,16.3,51.0,0.9341,True,False,False
103,2004-03-14 23:00:00,2.2,1349.0,933.0,933.0,1617.0,1349.0,14.7,55.9,0.9314,True,False,False
104,2004-03-15 00:00:00,1.8,1239.0,872.0,985.0,1547.0,1250.0,14.8,54.7,0.9164,True,False,False
105,2004-03-15 01:00:00,1.8,1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,True,False,False
106,2004-03-15 02:00:00,1.8,1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,True,False,False
107,2004-03-15 03:00:00,1.1,1078.0,734.0,1128.0,1487.0,1021.0,12.6,63.5,0.923,True,False,False
108,2004-03-15 04:00:00,,1078.0,711.0,1150.0,1468.0,1013.0,12.3,65.4,0.9351,False,True,False
109,2004-03-15 05:00:00,1.0,1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,True,False,False
110,2004-03-15 06:00:00,1.4,1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,True,False,False
111,2004-03-15 07:00:00,2.2,1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,True,False,False
112,2004-03-15 08:00:00,5.5,1797.0,1451.0,652.0,2323.0,1680.0,12.4,63.9,0.917,True,False,False
113,2004-03-15 09:00:00,8.1,1961.0,1701.0,537.0,2665.0,2184.0,14.8,54.3,0.9076,True,False,False
114,2004-03-15 10:00:00,5.8,1771.0,1470.0,622.0,2262.0,1973.0,17.4,45.6,0.8993,True,False,False
115,2004-03-15 11:00:00,4.2,1564.0,1300.0,710.0,2029.0,1798.0,19.8,38.5,0.8801,True,False,False
116,2004-03-15 12:00:00,3.1,1430.0,1120.0,831.0,1783.0,1522.0,22.0,34.1,0.8904,True,False,False
117,2004-03-15 13:00:00,2.9,1417.0,1146.0,830.0,1831.0,1404.0,23.3,32.2,0.9096,True,False,False
118,2004-03-15 14:00:00,2.9,1400.0,1162.0,838.0,1829.0,1263.0,23.9,30.0,0.8757,True,False,False
119,2004-03-15 15:00:00,2.5,1317.0,1053.0,926.0,1707.0,1137.0,24.4,28.9,0.8736,True,False,False
120,2004-03-15 16:00:00,2.3,1318.0,1033.0,950.0,1675.0,1068.0,24.4,29.4,0.8848,True,False,False
121,2004-03-15 17:00:00,2.8,1445.0,1141.0,857.0,1824.0,1252.0,23.8,31.3,0.9137,True,False,False
122,2004-03-15 18:00:00,6.1,1917.0,1601.0,631.0,2447.0,1843.0,22.5,35.4,0.9547,True,False,False
123,2004-03-15 19:00:00,8.0,2040.0,1754.0,542.0,2679.0,2122.0,20.4,42.5,1.0086,True,False,False
124,2004-03-15 20:00:00,6.5,1895.0,1573.0,565.0,2443.0,1992.0,18.3,52.6,1.0945,True,False,False
125,2004-03-15 21:00:00,4.2,1595.0,1294.0,678.0,2058.0,1707.0,16.7,57.4,1.0786,True,False,False
126,2004-03-15 22:00:00,3.2,1439.0,1159.0,764.0,1856.0,1494.0,15.7,60.2,1.0654,True,False,False
127,2004-03-15 23:00:00,1.4,1142.0,852.0,1008.0,1547.0,1164.0,15.3,61.4,1.058,True,False,False
128,2004-03-16 00:00:00,2.1,1304.0,1019.0,852.0,1731.0,1272.0,14.1,65.7,1.0494,True,False,False
129,2004-03-16 01:00:00,1.2,1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,True,False,False
130,2004-03-16 02:00:00,0.8,968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,True,False,False
131,2004-03-16 03:00:00,0.7,929.0,608.0,1376.0,1364.0,826.0,13.6,62.1,0.9636,True,False,False
132,2004-03-16 04:00:00,,941.0,626.0,1316.0,1373.0,840.0,12.3,66.2,0.945,False,True,False
133,2004-03-16 05:00:00,0.6,937.0,585.0,1412.0,1348.0,793.0,12.8,63.2,0.9283,True,False,False
134,2004-03-16 06:00:00,0.9,1017.0,681.0,1246.0,1418.0,870.0,11.2,68.5,0.9081,True,False,False
135,2004-03-16 07:00:00,1.3,1171.0,770.0,1162.0,1467.0,930.0,11.0,66.5,0.8705,True,False,False
136,2004-03-16 08:00:00,3.4,1541.0,1185.0,770.0,1889.0,1407.0,11.7,63.7,0.8719,True,False,False
137,2004-03-16 09:00:00,3.7,1539.0,1287.0,698.0,2055.0,1507.0,13.6,56.3,0.8743,True,False,False
138,2004-03-16 10:00:00,5.3,1735.0,1431.0,628.0,2211.0,1843.0,17.8,42.9,0.8672,True,False,False
139,2004-03-16 11:00:00,4.1,1571.0,1297.0,730.0,1973.0,1729.0,21.4,33.3,0.8417,True,False,False
140,2004-03-16 12:00:00,3.3,1452.0,1250.0,776.0,1868.0,1583.0,24.4,27.4,0.8231,True,False,False
141,2004-03-16 13:00:00,4.0,1579.0,1359.0,724.0,1998.0,1671.0,25.3,26.1,0.8264,True,False,False
142,2004-03-16 14:00:00,3.8,1466.0,1309.0,773.0,1897.0,1491.0,25.8,23.2,0.7589,True,False,False
143,2004-03-16 15:00:00,2.8,1280.0,1136.0,893.0,1675.0,1240.0,27.0,20.2,0.7094,True,False,False
144,2004-03-16 16:00:00,2.9,1407.0,1197.0,905.0,1759.0,1313.0,28.2,18.6,0.7014,True,False,False
145,2004-03-16 17:00:00,2.9,1389.0,1173.0,898.0,1739.0,1363.0,28.0,19.1,0.7098,True,False,False
146,2004-03-16 18:00:00,3.4,1447.0,1235.0,859.0,1778.0,1296.0,23.9,25.7,0.7519,True,False,False
147,2004-03-16 19:00:00,3.9,1551.0,1271.0,800.0,1875.0,1432.0,21.3,34.8,0.873,True,False,False
148,2004-03-16 20:00:00,3.2,1474.0,1173.0,854.0,1776.0,1432.0,20.4,36.7,0.8704,True,False,False
149,2004-03-16 21:00:00,5.1,1800.0,1426.0,700.0,2106.0,2034.0,19.0,41.3,0.9007,True,False,False
150,2004-03-16 22:00:00,2.6,1379.0,1101.0,818.0,1710.0,1602.0,17.9,45.9,0.9342,True,False,False
151,2004-03-16 23:00:00,1.7,1201.0,943.0,935.0,1560.0,1362.0,16.7,48.9,0.9226,True,False,False
152,2004-03-17 00:00:00,1.7,1205.0,925.0,922.0,1547.0,1314.0,15.5,52.9,0.9271,True,False,False
153,2004-03-17 01:00:00,1.2,1072.0,784.0,1066.0,1442.0,1114.0,15.5,51.9,0.9059,True,False,False
154,2004-03-17 02:00:00,0.9,998.0,714.0,1169.0,1383.0,992.0,14.1,55.6,0.891,True,False,False
155,2004-03-17 03:00:00,0.7,933.0,625.0,1292.0,1332.0,884.0,13.1,57.9,0.8666,True,False,False
156,2004-03-17 04:00:00,,883.0,577.0,1396.0,1303.0,808.0,12.7,57.9,0.8447,False,True,False
157,2004-03-17 05:00:00,0.5,869.0,554.0,1460.0,1268.0,667.0,11.8,58.0,0.8026,True,False,False
158,2004-03-17 06:00:00,0.5,891.0,576.0,1417.0,1289.0,733.0,11.9,57.4,0.7978,True,False,False
159,2004-03-17 07:00:00,1.6,1173.0,878.0,1038.0,1556.0,1052.0,9.9,65.2,0.7956,True,False,False
160,2004-03-17 08:00:00,4.1,1587.0,1334.0,702.0,1999.0,1534.0,11.1,60.2,0.7958,True,False,False
161,2004-03-17 09:00:00,6.6,1852.0,1696.0,553.0,2535.0,1931.0,14.1,50.0,0.802,True,False,False
162,2004-03-17 10:00:00,4.3,1522.0,1331.0,703.0,2026.0,1734.0,17.7,40.1,0.8048,True,False,False
163,2004-03-17 11:00:00,2.9,1438.0,1161.0,819.0,1782.0,1595.0,21.1,33.4,0.8265,True,False,False
164,2004-03-17 12:00:00,2.5,1393.0,1067.0,905.0,1654.0,1490.0,24.3,28.3,0.8471,True,False,False
165,2004-03-17 13:00:00,2.8,1452.0,1152.0,861.0,1747.0,1508.0,25.6,25.6,0.8254,True,False,False
166,2004-03-17 14:00:00,2.6,1389.0,1108.0,887.0,1712.0,1334.0,25.9,25.9,0.8503,True,False,False
167,2004-03-17 15:00:00,2.0,1207.0,994.0,1013.0,1520.0,1045.0,26.8,18.7,0.65,True,False,False
168,2004-03-17 16:00:00,2.9,1365.0,1154.0,940.0,1679.0,1221.0,29.3,15.8,0.6309,True,False,False
169,2004-03-17 17:00:00,2.5,1247.0,1060.0,1032.0,1525.0,1069.0,28.5,14.9,0.5708,True,False,False
170,2004-03-17 18:00:00,5.0,1557.0,1478.0,793.0,1981.0,1569.0,25.9,16.0,0.5237,True,False,False
171,2004-03-17 19:00:00,7.6,1973.0,1737.0,617.0,2414.0,2306.0,23.1,26.5,0.7403,True,False,False
172,2004-03-17 20:00:00,6.7,1975.0,1667.0,597.0,2416.0,2359.0,20.5,38.2,0.9133,True,False,False
173,2004-03-17 21:00:00,5.7,1795.0,1485.0,653.0,2174.0,2050.0,19.1,42.6,0.9294,True,False,False
174,2004-03-17 22:00:00,2.8,1444.0,1150.0,770.0,1727.0,1727.0,17.2,44.1,0.8558,True,False,False
175,2004-03-17 23:00:00,2.6,1488.0,1171.0,731.0,1778.0,1705.0,16.0,50.9,0.9206,True,False,False
176,2004-03-18 00:00:00,2.3,1371.0,1083.0,796.0,1669.0,1551.0,14.8,53.9,0.9024,True,False,False
177,2004-03-18 01:00:00,1.4,1161.0,904.0,947.0,1502.0,1240.0,14.3,55.4,0.8975,True,False,False
178,2004-03-18 02:00:00,1.0,1064.0,787.0,1057.0,1407.0,1115.0,14.8,52.1,0.8686,True,False,False
179,2004-03-18 03:00:00,0.7,970.0,687.0,1196.0,1351.0,969.0,13.9,53.9,0.8501,True,False,False
180,2004-03-18 04:00:00,,954.0,645.0,1260.0,1334.0,925.0,11.6,61.9,0.8442,False,True,False
181,2004-03-18 05:00:00,0.6,931.0,623.0,1293.0,1307.0,828.0,12.0,58.9,0.8233,True,False,False
182,2004-03-18 06:00:00,0.7,938.0,650.0,1251.0,1333.0,893.0,10.9,62.1,0.8113,True,False,False
183,2004-03-18 07:00:00,1.5,1166.0,885.0,1005.0,1551.0,1075.0,10.6,63.3,0.8067,True,False,False
184,2004-03-18 08:00:00,4.7,1643.0,1384.0,667.0,2094.0,1610.0,11.5,60.0,0.8117,True,False,False
185,2004-03-18 09:00:00,6.6,1934.0,1682.0,541.0,2468.0,2051.0,14.3,50.6,0.8186,True,False,False
186,2004-03-18 10:00:00,4.5,1617.0,1333.0,686.0,2010.0,1819.0,17.8,40.5,0.821,True,False,False
187,2004-03-18 11:00:00,2.8,1473.0,1127.0,831.0,1752.0,1568.0,20.8,34.4,0.8365,True,False,False
188,2004-03-18 12:00:00,2.2,1379.0,1068.0,899.0,1663.0,1374.0,23.8,28.2,0.8219,True,False,False
189,2004-03-18 13:00:00,2.2,1385.0,1056.0,891.0,1648.0,1268.0,24.2,28.7,0.8515,True,False,False
190,2004-03-18 14:00:00,2.3,1379.0,1087.0,901.0,1660.0,1144.0,25.2,24.9,0.7829,True,False,False
191,2004-03-18 15:00:00,2.2,1322.0,1129.0,934.0,1639.0,1109.0,27.0,17.8,0.6275,True,False,False
192,2004-03-18 16:00:00,2.8,1496.0,1205.0,822.0,1767.0,1347.0,27.1,23.1,0.818,True,False,False
193,2004-03-18 17:00:00,2.7,1409.0,1131.0,873.0,1689.0,1206.0,25.8,23.9,0.7832,True,False,False
194,2004-03-18 18:00:00,3.7,1513.0,1338.0,764.0,1957.0,1397.0,23.0,26.8,0.7446,True,False,False
195,2004-03-18 19:00:00,5.1,1667.0,1464.0,683.0,2118.0,1588.0,20.7,31.1,0.7523,True,False,False
196,2004-03-18 20:00:00,5.1,1667.0,1453.0,684.0,2051.0,1569.0,18.6,36.2,0.7676,True,False,False
197,2004-03-18 21:00:00,3.2,1430.0,1121.0,814.0,1732.0,1322.0,16.0,48.4,0.8768,True,False,False
198,2004-03-18 22:00:00,2.1,1333.0,989.0,885.0,1621.0,1194.0,14.5,57.8,0.9456,True,False,False
199,2004-03-18 23:00:00,1.7,1262.0,911.0,948.0,1545.0,1062.0,13.1,64.2,0.9606,True,False,False
200,2004-03-19 00:00:00,2.0,1287.0,936.0,918.0,1606.0,1040.0,12.0,69.7,0.9735,True,False,False
201,2004-03-19 01:00:00,1.6,1134.0,840.0,1021.0,1501.0,917.0,11.9,71.1,0.9915,True,False,False
202,2004-03-19 02:00:00,0.9,999.0,688.0,1229.0,1380.0,594.0,12.5,69.3,1.0029,True,False,False
203,2004-03-19 03:00:00,0.7,961.0,622.0,1382.0,1301.0,430.0,12.5,67.5,0.9768,True,False,False
204,2004-03-19 04:00:00,,934.0,569.0,1440.0,1280.0,397.0,12.3,67.7,0.9665,False,True,False
205,2004-03-19 05:00:00,0.5,913.0,525.0,1620.0,1260.0,370.0,12.5,66.8,0.962,True,False,False
206,2004-03-19 06:00:00,0.7,969.0,607.0,1373.0,1324.0,438.0,12.3,66.3,0.9487,True,False,False
207,2004-03-19 07:00:00,1.5,1182.0,845.0,1054.0,1539.0,704.0,12.4,64.9,0.9332,True,False,False
208,2004-03-19 08:00:00,4.8,1740.0,1372.0,671.0,2144.0,1476.0,13.0,61.6,0.9209,True,False,False
209,2004-03-19 09:00:00,6.2,1819.0,1582.0,575.0,2456.0,1716.0,13.6,58.8,0.912,True,False,False
210,2004-03-19 10:00:00,4.0,1427.0,1275.0,701.0,1980.0,1398.0,13.9,57.1,0.9032,True,False,False
211,2004-03-19 11:00:00,3.3,1390.0,1191.0,759.0,1879.0,1268.0,14.5,54.4,0.8917,True,False,False
212,2004-03-19 12:00:00,2.8,1283.0,1117.0,813.0,1751.0,1188.0,15.5,50.1,0.8744,True,False,False
213,2004-03-19 13:00:00,3.0,1304.0,1157.0,793.0,1801.0,1171.0,16.1,47.6,0.8655,True,False,False
214,2004-03-19 14:00:00,3.3,1364.0,1202.0,771.0,1875.0,1250.0,16.3,47.1,0.864,True,False,False
215,2004-03-19 15:00:00,3.5,1410.0,1268.0,724.0,1957.0,1344.0,16.4,47.5,0.8791,True,False,False
216,2004-03-19 16:00:00,4.0,1476.0,1280.0,708.0,1955.0,1378.0,16.1,50.2,0.9094,True,False,False
217,2004-03-19 17:00:00,4.6,1522.0,1320.0,690.0,2005.0,1435.0,16.0,50.7,0.9142,True,False,False
218,2004-03-19 18:00:00,4.1,1442.0,1301.0,704.0,1952.0,1372.0,15.8,50.3,0.8989,True,False,False
219,2004-03-19 19:00:00,4.5,1469.0,1344.0,677.0,1997.0,1471.0,15.5,50.6,0.884,True,False,False
220,2004-03-19 20:00:00,3.9,1467.0,1292.0,698.0,1942.0,1439.0,15.4,51.4,0.8956,True,False,False
221,2004-03-19 21:00:00,4.0,1421.0,1202.0,748.0,1854.0,1429.0,15.2,53.1,0.9117,True,False,False
222,2004-03-19 22:00:00,2.2,1175.0,945.0,904.0,1604.0,1081.0,14.7,57.6,0.9573,True,False,False
223,2004-03-19 23:00:00,2.1,1215.0,912.0,948.0,1547.0,993.0,14.2,58.3,0.938,True,False,False
224,2004-03-20 00:00:00,1.7,1127.0,802.0,1064.0,1447.0,837.0,13.8,57.9,0.9085,True,False,False
225,2004-03-20 01:00:00,1.6,1090.0,773.0,1105.0,1429.0,761.0,13.9,55.9,0.8842,True,False,False
226,2004-03-20 02:00:00,1.3,1017.0,718.0,1182.0,1382.0,650.0,13.9,55.6,0.8765,True,False,False
