normalized_title,doi_count,dois
noncumulativesizespecificcalibrationoflowcostparticulatemattersensorsundersimulatedconstructiondrillingevents,2,"[""10.20944/preprints202604.1260.v1"", ""10.3390/atmos17060561""]"
calibrationmethodologyoflowcostsensorsforhighqualitymonitoringoffineparticulatematter,2,"[""10.2139/ssrn.4348382"", ""10.1016/j.scitotenv.2023.164063""]"
calibrationoflowcostparticulatemattersensorsforcoaldustmonitoring,2,"[""10.2139/ssrn.4220835"", ""10.1016/j.scitotenv.2022.160336""]"
reviewforananalysisofdegradationinlowcostparticulatemattersensors,3,"[""10.1039/d2ea00142j/v2/review1"", ""10.1039/d2ea00142j/v1/review1"", ""10.1039/d2ea00142j/v1/review2""]"
reviewforlaboratoryandfieldevaluationofalowcostmethanesensorandkeyenvironmentalfactorsforsensorcalibration,4,"[""10.1039/d2ea00100d/v1/review2"", ""10.1039/d2ea00100d/v2/review1"", ""10.1039/d2ea00100d/v2/review2"", ""10.1039/d2ea00100d/v1/review1""]"
evaluationmethodsforlowcostparticulatemattersensors,2,"[""10.5194/amt-2021-154"", ""10.5194/amt-14-7369-2021""]"
decisionletterforananalysisofdegradationinlowcostparticulatemattersensors,2,"[""10.1039/d2ea00142j/v2/decision1"", ""10.1039/d2ea00142j/v1/decision1""]"
decisionletterforlaboratoryandfieldevaluationofalowcostmethanesensorandkeyenvironmentalfactorsforsensorcalibration,2,"[""10.1039/d2ea00100d/v2/decision1"", ""10.1039/d2ea00100d/v1/decision1""]"
validationofinfieldcalibrationforlowcostsensorsmeasuringambientparticulatematterinkolkataindia,3,"[""10.26434/chemrxiv-2023-8lhrq-v2"", ""10.26434/chemrxiv-2023-8lhrq"", ""10.4209/aaqr.230010""]"
fastandlowcostrobotichandeyecalibrationofpointlasersensor,2,"[""10.2139/ssrn.4710283"", ""10.1088/1742-6596/3063/1/012014""]"
troposphericsoundingwithlowcostparticulatemattersensors,2,"[""10.31274/ahac.3459"", ""10.31274/jhab.13030""]"
citizenoperatedlowcostsensorsforestimatingoutdoorparticulatematterinfiltration,2,"[""10.21203/rs.3.rs-4618450/v1"", ""10.1007/s11869-025-01787-4""]"
developmentandcalibrationofalowcostlidarsensorforwaterlevelmeasurements,2,"[""10.2139/ssrn.4752716"", ""10.1016/j.flowmeasinst.2024.102729""]"
verifikasilowcostparticulatesensorsebagaisensorpartikulatpadamodifikasiteknologiwetscrubber,2,"[""10.21771/vol7no1tahun2016artikel929"", ""10.21771/jrtppi.2016.v7.no1.p31-38""]"
reviewforanationalcrowdsourcednetworkoflowcostfineparticulatematterandaerosolopticaldepthmonitorsresultsfromthe2021wildfireseasonintheunitedstates,6,"[""10.1039/d3ea00086a/v1/review2"", ""10.1039/d3ea00086a/v2/review3"", ""10.1039/d3ea00086a/v2/review1"", ""10.1039/d3ea00086a/v2/review2"", ""10.1039/d3ea00086a/v1/review1"", ""10.1039/d3ea00086a/v1/review3""]"
calibrationtechniquesforlowcoststartrackers,2,"[""10.32920/ryerson.14655912.v1"", ""10.32920/ryerson.14655912""]"
addressinglowcostmethanesensorcalibrationshortcomingswithmachinelearning,2,"[""10.20944/preprints202408.2111.v1"", ""10.3390/atmos15111313""]"
airborneparticulatemattermonitoringinkenyausingcalibratedlowcostsensors,2,"[""10.5194/acp-2018-327"", ""10.5194/acp-18-15403-2018""]"
developmentandevaluationofcorrectionmodelsforalowcostfineparticulatemattermonitor,2,"[""10.5194/amt-2021-425"", ""10.5194/amt-15-3315-2022""]"
laboratoryevaluationofparticlesizeselectivityofopticallowcostparticulatemattersensors,2,"[""10.5194/amt-2019-422"", ""10.5194/amt-13-2413-2020""]"
decisionletterforanationalcrowdsourcednetworkoflowcostfineparticulatematterandaerosolopticaldepthmonitorsresultsfromthe2021wildfireseasonintheunitedstates,3,"[""10.1039/d3ea00086a/v2/decision1"", ""10.1039/d3ea00086a/v1/decision1"", ""10.1039/d3ea00086a/v3/decision1""]"
fieldevaluationoflowcostparticulatemattersensorsinhighandlowconcentrationenvironments,2,"[""10.5194/amt-2018-111"", ""10.5194/amt-11-4823-2018""]"
evaluationofthreelowcostparticulatematterpm25sensorsforambientandhighexposureconditionsinarbaminchethiopia,2,"[""10.59122/134080d"", ""10.59122/xec844310""]"
lowcostparticulatesensorsebagaiunitkontroluntukmeningkatkanefisiensipenggunaanairproseswetscrubber,2,"[""10.21771/vol8no1tahun2017artikel1546"", ""10.21771/jrtppi.2017.v8.no1.p35-42""]"
apracticalcalibrationapproachforlowcostsoilmoisturesensorinthetropicalagriculturalarea,2,"[""10.47836/pjst.34.1.12"", ""10.47836/jst.34.1.12""]"
socialdistancemonitoringusingalowcost3dsensor,2,"[""10.36227/techrxiv.23516505"", ""10.36227/techrxiv.23516505.v1""]"
constructionandcalibrationofalowcostalternativethermometer,5,"[""10.1021/scimeetings.0c03206"", ""10.1021/scimeetings.0c03208"", ""10.1021/scimeetings.0c03182"", ""10.1021/scimeetings.0c03181"", ""10.1021/scimeetings.0c03207""]"
rehabvisualimplementationofalowcosteyetrackerwithoutprecalibration,2,"[""10.5220/0009148002350241"", ""10.5220/0009148000002513""]"
dynamiccalibrationoflowcostpm25sensorsusingtrustbasedconsensusmechanisms,2,"[""10.2139/ssrn.5150345"", ""10.21203/rs.3.rs-6048236/v1""]"
evaluationofparticulatemattermicrosensorstobuildthelowcostsensorscollaborativenetworkofbogotá,2,"[""10.1109/casap54985.2021.9703377"", ""10.1109/casap54985.2021.9703397""]"
metaloxidesemiconductorgassensorsinenvironmentalmonitoring,2,"[""10.1533/9780857098665.4.433"", ""10.3390/s100605469""]"
reviewforsynergisticintegrationofplasmonicandperovskitenanosurfacestocreateamultigassensorforenvironmentalmonitoring,3,"[""10.1039/d4ra06125j/v1/review1"", ""10.1039/d4ra06125j/v2/review1"", ""10.1039/d4ra06125j/v1/review2""]"
designofasmartgassensorsystemforroomaircleanerofautomobilethickfilmmetaloxidesemiconductorgassensor,2,"[""10.1109/ifost.2006.312250"", ""10.5370/jeet.2007.2.3.408""]"
modelbasedcalibrationofagassensorarrayforonlinemonitoringofethanolconcentrationinsaccharomycescerevisiaebatchcultivation,2,"[""10.22541/au.158765874.49797055"", ""10.1016/j.biosystemseng.2020.08.004""]"
comparisonoftransferlearningandestablishedcalibrationtransfermethodsformetaloxidesemiconductorgassensors,2,"[""10.20944/preprints202306.1068.v1"", ""10.3390/atmos14071123""]"
decisionletterforsynergisticintegrationofplasmonicandperovskitenanosurfacestocreateamultigassensorforenvironmentalmonitoring,2,"[""10.1039/d4ra06125j/v1/decision1"", ""10.1039/d4ra06125j/v2/decision1""]"
atemperaturemodulationcircuitformetaloxidesemiconductorgassensor,2,"[""10.17485/ijst/2015/v8i13/52888"", ""10.17485/ijst/2015/v8i12/52888""]"
constructionofsinglememsgassensorwithmixedsignalsofmetaloxidesemiconductorandcatalyticcombustion,2,"[""10.2139/ssrn.4978713"", ""10.2139/ssrn.4797980""]"
rosesshapedcudopedbismuthoxideanultrasensitivesulfurdioxidegassensorforroomtemperatureagriculturalmonitoring,2,"[""10.2139/ssrn.5551461"", ""10.2139/ssrn.5963544""]"
modellingandsystematicinvestigationofgassensingutilizingmetaloxidesemiconductorsinsightsintosensordesignprinciples,2,"[""10.26434/chemrxiv-2025-k45q1"", ""10.1016/j.measurement.2026.121526""]"
sprayedcompositemoo31xv2o5xthinfilmsbasedno2gassensorforindustrialuseandenvironmentalmonitoring,3,"[""10.26226/morressier.616e5c2362ba8657678b121c"", ""10.1021/scimeetings.3c00499"", ""10.1021/scimeetings.3c00558""]"
understandingsemiconductingmetaloxidegassensors,2,"[""10.1007/978-981-99-2621-3_1"", ""10.1007/978-981-13-5853-1_1""]"
withdrawnadvancingenvironmentalmonitoringunveilingheavymetalcontaminationwithcalibrationfreepicosecondlaserinducedbreakdownspectroscopycfpslibs,2,"[""10.21203/rs.3.rs-3425253/v2"", ""10.21203/rs.3.rs-3425253/v1""]"
hydrothermalsynthesisofnoblemetalloadedtinoxidesolsolutionforgassensorapplication,2,"[""10.4028/www.scientific.net/ssp.124-126.1177"", ""10.4028/3-908451-31-0.1177""]"
metaloxidegassensors,2,"[""10.5772/intechopen.100736"", ""10.1002/9781118561799.ch5""]"
sensorsystemsforenvironmentalmonitoring,2,"[""10.1007/978-94-009-1571-8"", ""10.1007/978-94-009-0101-8""]"
suspendedheaterembeddedmetaloxidenanowirebasedgassensorplatform,2,"[""10.1149/ma2021-01561468mtgabs"", ""10.1149/ma2020-01282123mtgabs""]"
integrationtechnologiesingassensorapplication,2,"[""10.1007/978-981-99-2621-3_9"", ""10.1007/978-981-13-5853-1_8""]"
anovelgassensorforbinderburnout,2,"[""10.1016/s0026-0657(97)86732-x"", ""10.1016/s0026-0657(97)86866-x""]"
uniquelycharacteristicsmixedmetaloxidemmofluidcurelostcirculationwhilemeetingeuropeanenvironmentalregulations,2,"[""10.2118/110341-ms"", ""10.2523/110341-ms""]"
reviewforsensitiveandselectivenife2o4basedgassensorforhazardoushydrogensulfideh2smonitoring,3,"[""10.1039/d6ra00366d/v2/review1"", ""10.1039/d6ra00366d/v1/review1"", ""10.1039/d6ra00366d/v1/review2""]"
reviewformaterialsdesignstrategiesforsemiconductingmetaloxidechemiresistivegassensorsareview,2,"[""10.1039/d6lf00024j/v1/review1"", ""10.1039/d6lf00024j/v1/review2""]"
reviewfordefectinducedsubgapstateengineeringinneuromorphicmetaloxidephototransistorsforinsensorcolorprocessing,3,"[""10.1039/d5mh01018g/v1/review1"", ""10.1039/d5mh01018g/v2/review1"", ""10.1039/d5mh01018g/v1/review2""]"
realtimemonitoringofantigenantibodyrecognitiononametaloxidesurfacebyanopticalgratingcouplersensor,2,"[""10.1111/j.1432-1033.1995.tb20577.x"", ""10.1111/j.1432-1033.1995.0416h.x""]"
realtimeturbiditymonitoringusingmachinelearningandenvironmentalparameterintegrationforscalablewaterqualitymanagement,2,"[""10.22541/essoar.175767288.85280924/v1"", ""10.22541/essoar.175674608.88310773/v1""]"
variationsofgroundwaterturbidityinthebandungregencyindonesiafromcommunityusedwaterqualitymonitoringdata,2,"[""10.2139/ssrn.4390690"", ""10.1016/j.hydres.2023.06.001""]"
aglassfiberopticturbiditysensorforrealtimeinsituwaterqualitymonitoring,2,"[""10.3390/s23167271"", ""10.20944/preprints202307.0598.v1""]"
seasonalchangesofdissolvedandparticulatematerialintheturbidityzoneoftheriverelbe,2,"[""10.1029/ce036p0327"", ""10.1007/978-3-642-75413-5_48""]"
applicationsofwaterqualityproductstoenvironmentalmonitoring,3,"[""10.1201/9780849333569.ch4"", ""10.1201/9781420037616.ch4"", ""10.1201/9781420037616-4""]"
reviewforsmartmonitoringsolutionsforrealtimewaterphregulationinaquaticecotoxicology,2,"[""10.1002/cem.70024/v2/review1"", ""10.1002/cem.70024/v1/review1""]"
roboticandiotdevicesandsystemsforriverwaterqualitymonitoringandmanagementascopingreview,2,"[""10.4314/njt.2025.5256"", ""10.4314/njt.v44i4.9""]"
qualitymattersincorporatingwaterqualityintowateraccessmonitoringinruralmalawi,2,"[""10.4324/9781003331438-14"", ""10.1080/02508060.2017.1344818""]"
initialandroutinemonitoring,2,"[""10.1201/9781439800539-10"", ""10.1201/9781439800539.ch3""]"
opportunitiesandchallengesinsurfacewaterqualitymonitoring,2,"[""10.1201/9780203495476-11"", ""10.1201/9780203495476.ch7""]"
waterqualitymonitoring,4,"[""10.1201/9781003062110"", ""10.4324/9780203476796"", ""10.1109/southc.1994.498151"", ""10.1201/9781315137469-62""]"
estuarinewaterqualitymanagementplanningorganizingmonitoringandmodelling,2,"[""10.1029/ce036p0003"", ""10.1007/978-3-642-75413-5_1""]"
strategiesforwaterqualityassessment,3,"[""10.4324/noe0419216001.ch2"", ""10.1201/9781003062103-2"", ""10.4324/noe0419216001-7""]"
selectionofwaterqualityvariables,3,"[""10.4324/noe0419216001.ch3"", ""10.4324/noe0419216001-8"", ""10.1201/9781003062103-3""]"
anintroductiontowaterquality,3,"[""10.4324/noe0419216001.ch1"", ""10.4324/noe0419216001-6"", ""10.1201/9781003062103-1""]"
improvingqualityandsavingdollarsusingrealtimeonlinewaterqualitymonitoring,2,"[""10.1039/9781849733199-00059"", ""10.1039/bk9781849731560-00059""]"
waterqualityandmonitoring,2,"[""10.1201/9780429441042-36"", ""10.1081/e-enrw-120047558""]"
reviewofmonitoringthemicrobialqualityofwater,3,"[""10.32388/34bg31"", ""10.32388/gg7m4i"", ""10.32388/an34zz""]"
qualityassuranceplanforwaterqualitymonitoringinthepacificislandnetwork,2,"[""10.36967/2300662"", ""10.36967/2300648""]"
inlandandcoastalcase2waterqualityproducts,3,"[""10.1201/9781420037616.ch5"", ""10.1201/9780849333569.ch5"", ""10.1201/9781420037616-5""]"
economics,2,"[""10.1201/9781439800539-12"", ""10.1201/9781439800539.ch5""]"
concepts,2,"[""10.1201/9781439800539-8"", ""10.1201/9781439800539.ch1""]"
phcarbondioxideandalkalinity,2,"[""10.1007/978-3-319-17446-4_8"", ""10.1007/978-1-4615-4485-2_7""]"
thescienceofremotelysensingcase2waterquality,2,"[""10.1201/9781420037616.ch3"", ""10.1201/9780849333569.ch3""]"
remotesensingofinlandwaterquality,2,"[""10.1201/9781420037616.ch2"", ""10.1201/9780849333569.ch2""]"
decisionletterforsmartmonitoringsolutionsforrealtimewaterphregulationinaquaticecotoxicology,2,"[""10.1002/cem.70024/v1/decision1"", ""10.1002/cem.70024/v2/decision1""]"
colourplates,2,"[""10.1002/9780470749685.ins"", ""10.1002/9780470745427.ins""]"
references,2,"[""10.1201/9781439800539.bmatt"", ""10.1002/9781119381440.refs""]"
differentialspeedsteeringcontrolforfourwheelindependentdrivingelectricvehicle,2,"[""10.1109/isie.2013.6563667"", ""10.7763/ijmmm.2013.v1.77""]"
deepreinforcementlearningbasedadaptivetrajectorytrackingcontrolstrategyforfourwheelindependentsteeringvehicles,2,"[""10.2139/ssrn.5635642"", ""10.1016/j.neucom.2026.133649""]"
astableadaptivecontrolmethodforthefourwheelindependentsteeringvehicle,2,"[""10.1504/ijvd.2025.10072493"", ""10.1504/ijvd.2025.151993""]"
anovelrealtimerobustcontrollerofafourwheelindependentsteeringsystemforevusingneuralnetworksandfuzzylogic,2,"[""10.20944/preprints202310.1517.v1"", ""10.3390/math11214535""]"
kinematicsandcomparativeevaluationofanoveldecoupledredundantlyactuatedfourwheeledomnidirectionalmobilerobotwithtrajectorytrackingvalidation,2,"[""10.2139/ssrn.6350964"", ""10.1016/j.rineng.2026.112281""]"
stabilityandbautinbifurcationoffourwheelsteeringvehiclesystemwithdriversteeringcontrol,2,"[""10.21203/rs.3.rs-2797150/v1"", ""10.1063/5.0158869""]"
fourwheeldriverobot,2,"[""10.1201/9781420059106-7"", ""10.1201/9781420059106.ch7""]"
steeringof4wdvehicleswithindependentwheeltorquecontrol,2,"[""10.1080/00423119708969560"", ""10.1080/00423119808969560""]"
batterystateofchargeestimationandonlinewheelslipratiocontrolforautonomouswheeledmobilerobot,2,"[""10.32920/ryerson.14668371.v1"", ""10.32920/ryerson.14668371""]"
analternatecontrolalgorithmforthefourwheelsteeringvehicles,2,"[""10.1080/00423119308969536"", ""10.1201/9781003210900-37""]"
mobilerobotnavigationwithenhanced2dmappingandmultisensorfusion,2,"[""10.20944/preprints202502.2212.v1"", ""10.3390/s25082408""]"
localizationofthewheeledmobilerobotbasedonmultisensordatafusion,2,"[""10.14313/jamris_2-2015/26"", ""10.14313/jamris_3-2015/26""]"
anovelmultisensorfusionslamapproachformobilerobot,2,"[""10.2139/ssrn.5006343"", ""10.1142/s2301385026500585""]"
xwindowbasedgraphicalmobilerobotsimulatorforpathplanningandsensorfusionexperiments,2,"[""10.1109/simsym.1991.151504"", ""10.1145/106073.106125""]"
localizationofawheeledmobilerobotbysensordatafusionbasedonafuzzylogicadaptedkalmanfilter,2,"[""10.1016/s1474-6670(17)44087-0"", ""10.1016/s0967-0661(99)00028-3""]"
mappingsubsurfaceutilitieswithmobileelectromagneticgeophysicalsensorarrays,2,"[""10.1016/b978-0-08-102706-6.00005-2"", ""10.1533/9781782422433.2.347""]"
multimobilerobotandavoidanceobstacletospatialmappinginindoorenvironment,2,"[""10.5220/0010509200002995"", ""10.5220/0010509200210029""]"
artificialbeaconswithrgbdenvironmentmappingforindoormobilerobotlocalization,2,"[""10.18494/sam.2016.1227"", ""10.18494/sam.2016.1335""]"
backmatter,2,"[""10.1049/pbce073e_bm"", ""10.1115/1.861rob_bm""]"
distributionstationinspectionrobotwithmodularmanipulator,2,"[""10.2139/ssrn.4873574"", ""10.1016/j.ohx.2025.e00652""]"
robotmanipulatorredundancyresolution,3,"[""10.1002/9781119381440.fmatter"", ""10.1115/1.861rob"", ""10.1002/9781119381440""]"
endtoendnavigationstackfornuclearpowerplantinspectionwithmobilerobot,2,"[""10.2139/ssrn.4649993"", ""10.1016/j.softx.2024.101750""]"
amobilesemiautonomousrobotforsoilsampling,2,"[""10.36227/techrxiv.17050970"", ""10.36227/techrxiv.17050970.v1""]"
qpbasedmanipulatorstateadjustment,2,"[""10.1115/1.861rob_ch8"", ""10.1002/9781119381440.ch8""]"
from2dto3dmixedrealityhumanrobotinterfaceinhazardousroboticinterventionswiththeuseofredundantmobilemanipulator,2,"[""10.5220/0010528503880395"", ""10.5220/0010528500002994""]"
robotmanipulator,2,"[""10.1108/ir.2001.04928ead.009"", ""10.1108/ir.2004.04931cad.008""]"
controllingandstabilisingofnonholonomicwheeledmobilerobotequippedwithmanipulatorwmrm,2,"[""10.1504/ijaac.2026.10068883"", ""10.1504/ijaac.2026.150566""]"
designingabehaviorofamobilerobotequippedwithamanipulatortoopenandpassthroughadoor,2,"[""10.1016/b978-044482250-5/50021-9"", ""10.1016/0921-8890(95)00061-5""]"
qpbasedjoystickcontrol,2,"[""10.1115/1.861rob_ch15"", ""10.1002/9781119381440.ch15""]"
asmallmobilerobotforsecurityandinspectionoperations,2,"[""10.1016/s1474-6670(17)41712-5"", ""10.1016/s0967-0661(02)00087-4""]"
manipulabilitymaximizingsmpscheme,2,"[""10.1115/1.861rob_ch12"", ""10.1002/9781119381440.ch12""]"
qpbasedselfmotionplanning,2,"[""10.1115/1.861rob_ch9"", ""10.1002/9781119381440.ch9""]"
feedbackaidedminimumjointmotion,2,"[""10.1115/1.861rob_ch7"", ""10.1002/9781119381440.ch7""]"
qpbasedencoderfeedbackcontrol,2,"[""10.1115/1.861rob_ch14"", ""10.1002/9781119381440.ch14""]"
pseudoinversemethodandsingularitiesdiscussed,2,"[""10.1115/1.861rob_ch10"", ""10.1002/9781119381440.ch10""]"
inspectionsampling,3,"[""10.1002/9781118445112.stat03102"", ""10.1002/0471667196.ess1247"", ""10.1002/0471667196.ess1247.pub2""]"
waterbenchalargescalebenchmarkdatasetfordatadrivenstreamflowforecasting,2,"[""10.31223/x57w6t"", ""10.5194/essd-2022-52""]"
earthobsnetacomprehensivebenchmarkdatasetfordatadrivenearthobservationimagesynthesis,2,"[""10.1016/j.envsoft.2024.106292"", ""10.31223/x5gd7j""]"
sarmfbenchareproduciblesmartcontractvulnerabilitybenchmarkdataset,4,"[""10.32388/lx0f9e"", ""10.31224/6662"", ""10.33774/coe-2026-wllph"", ""10.21203/rs.3.rs-9161109/v1""]"
